2026-04-18T09:02:22.466781+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:02:58.111402+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:03:44.829954+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:04:21.933585+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:04:58.339230+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:05:44.071973+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:06:20.431445+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:06:55.770201+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:07:32.081406+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:08:07.789939+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:08:44.055585+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:09:19.404693+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:09:54.936533+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:10:30.101391+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:11:05.166908+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:11:41.003936+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:12:17.084462+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:12:52.887416+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:13:29.343734+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:14:30.775081+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:15:08.113609+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:15:43.672502+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:16:29.285983+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:17:07.313239+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:17:43.517214+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:18:31.925441+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:19:07.443901+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:19:42.409871+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T09:20:40.100789+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T09:21:17.950357+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T09:21:54.209538+00:00 | Swim | Bts | source:amperwave-api
2026-04-18T09:22:38.053325+00:00 | Go | Blackpink | source:amperwave-api
2026-04-18T09:23:15.180881+00:00 | Go | Blackpink | source:amperwave-api
