2026-04-12T16:28:28.783111+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T16:29:02.674365+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:29:36.362824+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:30:10.306930+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:30:44.474714+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:31:18.041170+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:31:52.953987+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-12T16:32:28.558778+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:33:04.031266+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:33:37.977808+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:34:11.958020+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:34:45.633037+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:35:19.162357+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:35:52.690542+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-12T16:36:26.763087+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:37:01.465286+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:37:35.783286+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:38:10.401243+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:39:06.258847+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:39:40.747585+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:40:16.063352+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:41:17.530328+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:41:51.307089+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:42:25.049724+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:42:58.708463+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-12T16:43:36.901131+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T16:44:10.487648+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T16:44:44.336559+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T16:45:18.468368+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T16:45:52.605316+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T16:46:28.025988+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T16:47:02.893022+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T16:47:37.348379+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T16:48:23.671829+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T16:49:02.553279+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T16:49:36.425034+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:50:11.421823+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:50:46.004825+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:51:20.404254+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:51:56.361679+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:52:31.273982+00:00 | Save Your Tears | The Weeknd | source:amperwave-api
2026-04-12T16:53:06.096317+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:53:42.734340+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:54:17.913655+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:54:51.850292+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:55:51.791170+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:56:27.011275+00:00 | Pon De Replay | Rihanna | source:amperwave-api
2026-04-12T16:57:26.328366+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T16:58:00.892459+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T16:58:35.056497+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T16:59:09.286803+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T16:59:45.091048+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T17:00:19.561624+00:00 | Break Free (Feat. Zedd) | Ariana Grande | source:amperwave-api
2026-04-12T17:00:53.360084+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-12T17:01:27.384334+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-12T17:02:01.888634+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-12T17:02:35.920959+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-12T17:03:10.027529+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-12T17:03:44.053818+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T17:04:27.183680+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T17:05:01.906776+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T17:05:35.767600+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T17:06:34.956316+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-12T17:07:10.469801+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-12T17:07:44.933235+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-12T17:08:19.073522+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-12T17:09:16.133125+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-12T17:09:54.180759+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T17:11:27.449715+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T17:12:21.818423+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T17:12:59.290026+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:13:32.933303+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:14:06.885256+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:14:41.258562+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:15:15.282295+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:15:49.463668+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:16:24.459851+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T17:16:59.079382+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:17:33.999964+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:18:08.039982+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:18:41.557525+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:19:23.846036+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:20:00.422071+00:00 | Wild Ones (Feat. Sia) | Flo Rida | source:amperwave-api
2026-04-12T17:20:34.598880+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:21:41.272141+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:22:26.877310+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:23:03.390054+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:23:37.043067+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:24:34.231573+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:25:08.780667+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:25:42.610737+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:26:17.069476+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:27:17.392470+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:27:53.850969+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:28:27.956354+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:29:01.801529+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:29:36.299308+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T17:30:10.249462+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T17:30:51.916861+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T17:31:26.335750+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T17:32:01.056060+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T17:32:35.500085+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T17:33:14.564317+00:00 | Saturn | Sza | source:amperwave-api
2026-04-12T17:33:49.155753+00:00 | Saturn | Sza | source:amperwave-api
2026-04-12T17:34:29.559140+00:00 | Saturn | Sza | source:amperwave-api
2026-04-12T17:35:08.982154+00:00 | Saturn | Sza | source:amperwave-api
2026-04-12T17:35:59.710296+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T17:36:36.010394+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T17:37:10.313088+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T17:37:44.419515+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T17:38:20.774864+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T17:39:14.851680+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:39:51.117619+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:40:24.919584+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:41:20.623108+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:41:54.445994+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:42:29.359509+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:43:03.191568+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:43:37.090426+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:44:11.094871+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:44:45.685118+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:45:19.809576+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-12T17:45:54.189553+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:46:29.741151+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:47:05.890258+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:47:41.571972+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:48:16.074766+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:48:51.051869+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:49:26.993786+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T17:50:00.988642+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T17:50:54.622279+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T17:51:32.360616+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T17:53:06.754379+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T17:53:40.627851+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T17:54:14.443768+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T17:54:48.141149+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T17:55:22.106366+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T17:56:22.678443+00:00 | Gives You Hell | All American Rejects | source:amperwave-api
2026-04-12T17:56:56.840134+00:00 | Gives You Hell | All American Rejects | source:amperwave-api
2026-04-12T17:57:32.269220+00:00 | Gives You Hell | All American Rejects | source:amperwave-api
2026-04-12T17:58:08.650934+00:00 | Gives You Hell | All American Rejects | source:amperwave-api
2026-04-12T17:58:43.225681+00:00 | Gives You Hell | All American Rejects | source:amperwave-api
2026-04-12T17:59:22.413578+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T17:59:57.543970+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T18:00:31.580476+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T18:01:05.905257+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T18:01:40.016822+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T18:02:14.451319+00:00 | Attention | Charlie Puth | source:amperwave-api
2026-04-12T18:02:49.288153+00:00 | Attention | Charlie Puth | source:amperwave-api
