2026-04-12T19:51:24.317588+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:51:59.957250+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:52:35.220113+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:53:10.428495+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:53:46.729359+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:54:23.097834+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:55:00.386747+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:55:35.795551+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:56:34.349446+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:57:09.362186+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:58:06.872686+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:58:41.639174+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:59:17.715692+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:59:53.776398+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:00:41.702761+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:01:23.651189+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:02:12.220971+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:02:58.407032+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:03:33.687984+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:04:09.032820+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:04:44.235281+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:05:19.298770+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:05:54.273245+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:06:29.300322+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:07:04.085264+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:07:38.844258+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:08:13.905733+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:08:48.946432+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:09:26.789164+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:10:03.842594+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:10:40.558025+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:11:45.398224+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:13:25.311241+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:14:01.944372+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:15:02.580935+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:15:37.600502+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:16:13.775685+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:16:51.418376+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:17:39.831353+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:18:23.058126+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:18:58.663133+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:19:34.442655+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:20:09.969441+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:20:47.371538+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:21:22.564412+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:21:57.564517+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:22:32.943491+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:23:07.773004+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:23:43.050347+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:24:18.109594+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:24:53.200320+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:25:27.900960+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:26:03.482228+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:26:54.172671+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:27:36.459578+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:28:11.783246+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:29:13.023075+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T20:29:48.349645+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T20:30:23.380364+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T20:30:58.547266+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T20:31:49.340101+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T20:32:31.375127+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:33:23.419533+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:34:06.146129+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:34:41.580516+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:35:16.656351+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:35:52.004179+00:00 | Titanium (Feat. Sia) | David Guetta | source:amperwave-api
2026-04-12T20:36:28.102268+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T20:37:02.969981+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T20:37:38.468841+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T20:38:13.436243+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T20:38:49.361911+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-12T20:39:27.203422+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:40:02.141893+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:40:38.688811+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:41:23.648525+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:42:04.172759+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:42:39.405136+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:43:38.193427+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:44:12.931143+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:45:17.299043+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:46:14.131684+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:46:53.312586+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:47:30.009247+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-12T20:48:27.210623+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T20:49:03.014681+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T20:49:38.872347+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T20:50:14.580282+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T20:50:49.514758+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:51:24.832020+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:52:00.693527+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:52:37.028884+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:53:12.229865+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:53:47.198814+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-12T20:54:22.421730+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T20:54:57.834779+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T20:55:33.104025+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T20:56:08.137106+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T20:56:43.990135+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T20:57:24.009781+00:00 | Go | Blackpink | source:amperwave-api
2026-04-12T20:58:03.414496+00:00 | Go | Blackpink | source:amperwave-api
2026-04-12T20:58:38.898429+00:00 | Go | Blackpink | source:amperwave-api
2026-04-12T20:59:45.530781+00:00 | Go | Blackpink | source:amperwave-api
2026-04-12T21:00:20.963865+00:00 | Go | Blackpink | source:amperwave-api
2026-04-12T21:01:25.693169+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T21:02:02.132728+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T21:03:03.711576+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T21:03:38.930059+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T21:04:13.914002+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:04:49.345410+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:05:23.980030+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:06:24.028589+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:07:01.369444+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:07:36.820515+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-12T21:08:11.678453+00:00 | Sunflower (Feat. Swae Lee) | Post Malone | source:amperwave-api
2026-04-12T21:08:47.442942+00:00 | Sunflower (Feat. Swae Lee) | Post Malone | source:amperwave-api
2026-04-12T21:09:23.229532+00:00 | Sunflower (Feat. Swae Lee) | Post Malone | source:amperwave-api
2026-04-12T21:09:58.510126+00:00 | Sunflower (Feat. Swae Lee) | Post Malone | source:amperwave-api
2026-04-12T21:10:33.936852+00:00 | Sunflower (Feat. Swae Lee) | Post Malone | source:amperwave-api
2026-04-12T21:11:09.382746+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T21:11:46.150303+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T21:12:21.526784+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T21:12:56.855800+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T21:14:00.226872+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T21:14:36.225544+00:00 | Too Sweet | Hozier | source:amperwave-api
2026-04-12T21:15:17.556689+00:00 | Too Sweet | Hozier | source:amperwave-api
