2026-04-19T03:55:34.683918+00:00 | If I Cant Have You | Shawn Mendes | source:amperwave-api
2026-04-19T03:56:09.553402+00:00 | 10,000 Hours | Dan Shay W/Justin Bieber | source:amperwave-api
2026-04-19T03:57:05.900377+00:00 | 10,000 Hours | Dan Shay W/Justin Bieber | source:amperwave-api
2026-04-19T03:57:41.629425+00:00 | 10,000 Hours | Dan Shay W/Justin Bieber | source:amperwave-api
2026-04-19T03:58:16.329462+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T03:59:15.078235+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T03:59:51.988078+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T04:00:34.110879+00:00 | Good As Hell | Lizzo | source:amperwave-api
2026-04-19T04:01:37.711979+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T04:02:29.011987+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T04:03:13.225013+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T04:03:50.308850+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T04:04:25.768022+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T04:05:01.641775+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T04:05:38.601629+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T04:06:14.223562+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T04:06:49.841047+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T04:07:24.874708+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:07:59.690913+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:08:34.993174+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:09:11.192196+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:09:46.847925+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:10:35.040991+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:11:11.823570+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T04:11:47.028020+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T04:12:40.821178+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T04:13:17.229591+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T04:13:52.973453+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T04:14:44.019086+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T04:15:19.238901+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T04:15:55.090666+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T04:16:49.064983+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T04:17:24.134150+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:17:59.926875+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:18:58.275202+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:19:33.824775+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:20:10.567056+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T04:21:05.267363+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:21:41.880043+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:22:17.411750+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:22:52.439917+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:23:27.488960+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:24:02.329548+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T04:24:37.203164+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T04:25:12.898200+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T04:25:48.703638+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T04:26:25.692285+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T04:27:02.206278+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T04:27:37.770042+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T04:28:14.026652+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T04:28:49.704005+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T04:29:25.720039+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T04:31:06.201895+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-19T04:31:42.721179+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-19T04:32:44.286186+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-19T04:33:20.491921+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T04:33:56.520974+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T04:34:57.173119+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T04:35:31.821455+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T04:36:06.980545+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T04:37:03.730145+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-19T04:37:38.826945+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-19T04:38:14.061346+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-19T04:39:02.065136+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-19T04:39:36.893130+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-19T04:40:11.830230+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T04:41:06.678758+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T04:41:41.833442+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T04:42:17.007535+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T04:42:52.667952+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T04:43:28.269308+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T04:44:03.372794+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T04:44:39.081271+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T04:45:14.391737+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T04:45:49.967934+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T04:46:24.910720+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T04:46:59.958190+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T04:47:34.535422+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T04:48:10.133293+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T04:48:44.807118+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:49:32.956663+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:50:10.905788+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:50:46.753590+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:51:59.246281+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T04:52:36.114377+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-19T04:53:11.785978+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-19T04:53:46.798687+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-19T04:54:25.647050+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-19T04:55:00.499304+00:00 | Flowers | Miley Cyrus | source:amperwave-api
2026-04-19T04:55:36.006328+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T04:56:34.492925+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T04:57:09.654135+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T04:57:44.425052+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
