2026-04-12T19:44:38.225831+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:45:13.177950+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:45:48.552748+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:46:45.748193+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:47:20.230436+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:47:56.655216+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:48:32.620814+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:49:07.917574+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:49:43.073860+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:50:18.228980+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:50:53.049224+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:51:29.024624+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:52:04.320002+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:52:39.548659+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-12T19:53:15.672846+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:53:51.036586+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:54:29.738093+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:55:04.678489+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:56:02.286885+00:00 | Down (Feat. Lil Wayne) | Jay Sean | source:amperwave-api
2026-04-12T19:56:38.513284+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-12T19:57:35.566038+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-12T19:58:10.999228+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-12T19:58:46.153342+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-12T19:59:22.937349+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-12T19:59:58.170102+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-12T20:00:52.711573+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-12T20:01:27.852483+00:00 | Luther | Kendrick Lamar Ft Sza | source:amperwave-api
2026-04-12T20:02:27.505031+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:03:02.867523+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
