2026-04-19T15:48:03.264208+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T15:48:44.704114+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T15:49:36.299456+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T15:50:15.979587+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T15:50:57.643479+00:00 | The Way I Are (Feat. Keri Hilson D.O.E.) (2007) | Timbaland | source:amperwave-api
2026-04-19T15:51:39.283752+00:00 | The Way I Are (Feat. Keri Hilson D.O.E.) (2007) | Timbaland | source:amperwave-api
2026-04-19T15:52:19.898831+00:00 | The Way I Are (Feat. Keri Hilson D.O.E.) (2007) | Timbaland | source:amperwave-api
2026-04-19T15:53:05.229874+00:00 | The Way I Are (Feat. Keri Hilson D.O.E.) (2007) | Timbaland | source:amperwave-api
2026-04-19T15:54:11.970952+00:00 | Circles | Post Malone | source:amperwave-api
2026-04-19T15:54:52.779185+00:00 | Circles | Post Malone | source:amperwave-api
2026-04-19T15:55:46.591367+00:00 | Circles | Post Malone | source:amperwave-api
2026-04-19T15:56:26.616533+00:00 | Circles | Post Malone | source:amperwave-api
2026-04-19T15:57:08.167886+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T15:57:51.503475+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T15:58:32.952508+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T15:59:12.147502+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T16:00:20.547653+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T16:01:05.247277+00:00 | Something Just Like This | The Chainsmokers Coldplay | source:amperwave-api
2026-04-19T16:01:46.574321+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-19T16:02:26.416819+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-19T16:03:07.904627+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-19T16:03:47.851261+00:00 | Big Energy | Latto | source:amperwave-api
2026-04-19T16:04:29.582044+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T16:05:11.402877+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T16:05:53.468498+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T16:06:33.477513+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T16:07:16.558598+00:00 | Whatever You Like | T.I. | source:amperwave-api
2026-04-19T16:07:56.735398+00:00 | Whatever You Like | T.I. | source:amperwave-api
2026-04-19T16:09:00.374846+00:00 | Whatever You Like | T.I. | source:amperwave-api
2026-04-19T16:09:41.929836+00:00 | Whatever You Like | T.I. | source:amperwave-api
2026-04-19T16:10:38.443856+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T16:11:19.543792+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T16:12:32.287011+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T16:13:14.635461+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T16:13:56.261162+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:15:10.880954+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:16:23.860019+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:17:06.499305+00:00 | This Is What You Came For (Feat. Rihanna) | Calvin Harris | source:amperwave-api
2026-04-19T16:17:46.739058+00:00 | This Is What You Came For (Feat. Rihanna) | Calvin Harris | source:amperwave-api
2026-04-19T16:18:51.090708+00:00 | This Is What You Came For (Feat. Rihanna) | Calvin Harris | source:amperwave-api
