2026-04-11T19:45:36.674622+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
2026-04-11T19:46:11.822451+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
2026-04-11T19:46:45.921890+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
2026-04-11T19:47:44.063083+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:48:18.601039+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:48:52.492293+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:49:27.024302+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:50:01.418503+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:50:35.743147+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:51:10.406131+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:51:45.264303+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:52:19.937586+00:00 | Knockin On Heavens Door | Guns N Roses | source:amperwave-api
2026-04-11T19:52:54.791982+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:53:29.489993+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:54:05.460546+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:54:39.669803+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:55:32.124287+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:56:07.999828+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:57:05.868059+00:00 | Low | Cracker | source:amperwave-api
2026-04-11T19:57:41.936106+00:00 | When Legends Rise (Live) | Godsmack | source:amperwave-api
2026-04-11T19:58:40.733371+00:00 | When Legends Rise (Live) | Godsmack | source:amperwave-api
2026-04-11T19:59:15.178240+00:00 | When Legends Rise (Live) | Godsmack | source:amperwave-api
2026-04-11T20:00:14.737342+00:00 | When Legends Rise (Live) | Godsmack | source:amperwave-api
2026-04-11T20:00:50.548669+00:00 | When Legends Rise (Live) | Godsmack | source:amperwave-api
2026-04-11T20:01:51.868530+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:02:27.508791+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:03:29.362594+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:04:03.795213+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:04:38.344067+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:05:13.389400+00:00 | Today | The Smashing Pumpkins | source:amperwave-api
2026-04-11T20:05:48.109962+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-11T20:06:22.556726+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-11T20:06:57.129248+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-11T20:07:33.136105+00:00 | Twisting The Knife | Ice Nine Kills | source:amperwave-api
2026-04-11T20:08:07.953853+00:00 | I Wont Back Down | Tom Petty | source:amperwave-api
2026-04-11T20:08:42.857616+00:00 | I Wont Back Down | Tom Petty | source:amperwave-api
2026-04-11T20:09:17.457017+00:00 | I Wont Back Down | Tom Petty | source:amperwave-api
2026-04-11T20:09:52.308761+00:00 | I Wont Back Down | Tom Petty | source:amperwave-api
2026-04-11T20:10:26.758724+00:00 | I Wont Back Down | Tom Petty | source:amperwave-api
2026-04-11T20:31:01.088828+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:31:59.991239+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:32:35.095839+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:33:35.169588+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:34:10.242375+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:34:44.658733+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:35:22.160721+00:00 | One | Metallica | source:amperwave-api
2026-04-11T20:35:56.906345+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:36:56.932880+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:37:31.676557+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:38:06.339048+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:38:40.978316+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:39:16.051589+00:00 | Profane Prophecy | The Black Crowes | source:amperwave-api
2026-04-11T20:39:50.504341+00:00 | Song 2 | Blur | source:amperwave-api
2026-04-11T20:40:25.741498+00:00 | Song 2 | Blur | source:amperwave-api
2026-04-11T20:41:00.541450+00:00 | Song 2 | Blur | source:amperwave-api
2026-04-11T20:41:35.031109+00:00 | Song 2 | Blur | source:amperwave-api
2026-04-11T20:42:10.002292+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:42:45.567074+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:43:20.059535+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:43:55.210897+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:44:30.530564+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:45:05.670161+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:45:40.548458+00:00 | Happy? | Mudvayne | source:amperwave-api
2026-04-11T20:46:20.490926+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:46:55.610931+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:47:57.076563+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:48:32.057662+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:49:07.487901+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:49:49.802748+00:00 | Rag Doll | Aerosmith | source:amperwave-api
2026-04-11T20:50:26.358199+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:51:24.128561+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:51:59.897836+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:52:34.458306+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:53:09.153099+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:53:43.921577+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:54:18.795426+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:54:52.983760+00:00 | Jeremy | Pearl Jam | source:amperwave-api
2026-04-11T20:55:27.332341+00:00 | Jack | Hardy | source:amperwave-api
2026-04-11T20:56:02.646270+00:00 | Jack | Hardy | source:amperwave-api
2026-04-11T20:56:36.944179+00:00 | Jack | Hardy | source:amperwave-api
2026-04-11T20:57:12.066551+00:00 | Jack | Hardy | source:amperwave-api
2026-04-11T20:57:49.395013+00:00 | Jack | Hardy | source:amperwave-api
2026-04-11T20:58:24.140833+00:00 | The Diary Of Jane | Breaking Benjamin | source:amperwave-api
2026-04-11T20:58:59.076390+00:00 | The Diary Of Jane | Breaking Benjamin | source:amperwave-api
2026-04-11T20:59:33.275928+00:00 | The Diary Of Jane | Breaking Benjamin | source:amperwave-api
