2026-04-19T05:26:15.808937+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:26:56.306837+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:27:31.758693+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:28:34.645917+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:29:09.076886+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:29:44.981705+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:30:42.077775+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:31:16.965199+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:31:52.599360+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:32:49.545776+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:33:25.182759+00:00 | Last Friday Night (T.G.I.F)** | Katy Perry | source:amperwave-api
2026-04-19T05:34:00.466745+00:00 | World On Fire | King And Country | source:amperwave-api
2026-04-19T05:34:48.962625+00:00 | World On Fire | King And Country | source:amperwave-api
2026-04-19T05:35:23.985733+00:00 | World On Fire | King And Country | source:amperwave-api
2026-04-19T05:36:01.156725+00:00 | World On Fire | King And Country | source:amperwave-api
2026-04-19T05:36:46.079284+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:37:22.673360+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:37:57.523837+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:38:42.136708+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:39:18.686217+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-19T05:39:54.397430+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:40:29.929328+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:41:07.205229+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:41:42.216011+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:42:17.072788+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:42:51.995630+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:43:27.517317+00:00 | Misery | Goo Goo Dolls | source:amperwave-api
2026-04-19T05:44:03.466311+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T05:44:38.767704+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T05:45:14.234570+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T05:45:49.287283+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T05:46:24.268313+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T05:47:00.101705+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-19T05:47:38.413158+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-19T05:48:13.869018+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-19T05:48:49.329386+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-19T05:49:35.057550+00:00 | Party In The U.S.A. | Miley Cyrus | source:amperwave-api
2026-04-19T05:50:11.141720+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T05:50:46.093184+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T05:51:25.864214+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T05:52:02.642187+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T05:52:38.102159+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-19T05:53:23.758829+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-19T05:53:58.996896+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-19T05:54:33.780341+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-19T05:55:20.254298+00:00 | Levitating | Dua Lipa | source:amperwave-api
2026-04-19T05:55:55.679814+00:00 | Ice Cold Lakes | The Fray | source:amperwave-api
2026-04-19T05:56:30.366524+00:00 | Ice Cold Lakes | The Fray | source:amperwave-api
2026-04-19T05:57:17.761512+00:00 | Ice Cold Lakes | The Fray | source:amperwave-api
2026-04-19T05:57:52.878532+00:00 | Ice Cold Lakes | The Fray | source:amperwave-api
