2026-04-16T16:52:10.092936+00:00 | Stacys Mom | Fountains Of Wayne | source:amperwave-api
2026-04-16T16:52:46.336943+00:00 | Stacys Mom | Fountains Of Wayne | source:amperwave-api
2026-04-16T16:53:24.588964+00:00 | Stacys Mom | Fountains Of Wayne | source:amperwave-api
2026-04-16T16:54:02.829709+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T16:54:41.254434+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T16:55:22.956545+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T16:56:00.311481+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T16:56:36.149147+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-16T16:57:14.632754+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T16:57:51.006543+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T16:58:32.087415+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T17:00:11.668995+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T17:00:49.453666+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:01:28.433506+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:02:06.752790+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:02:43.267345+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:03:21.050332+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:03:57.362637+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:04:35.558178+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-16T17:06:21.052098+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-16T17:06:57.956815+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-16T17:07:34.324742+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-16T17:08:10.844669+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-16T17:08:49.625116+00:00 | Misery Business | Paramore | source:amperwave-api
2026-04-16T17:09:25.803784+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-16T17:10:03.133335+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-16T17:10:40.617105+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-16T17:12:36.781419+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-16T17:13:17.466017+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-16T17:14:00.203165+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-16T17:14:36.904635+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-16T17:15:14.408948+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-16T17:15:50.827644+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-16T17:16:30.385115+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T17:17:22.673701+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T17:18:08.420275+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-16T17:18:46.099863+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-16T17:20:26.537510+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-16T17:21:04.695671+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-16T17:21:44.769947+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-16T17:22:21.666790+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-16T17:22:58.839100+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T17:23:36.003539+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T17:24:13.313118+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T17:24:51.030123+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-16T17:26:17.988992+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-16T17:26:54.456428+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-16T17:27:31.100595+00:00 | Dracula | Tame Impala | source:amperwave-api
