2026-04-19T07:49:23.332240+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T07:50:12.823337+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:50:48.355354+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:51:23.049820+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:51:58.814260+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:52:34.944056+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:53:10.232072+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T07:53:44.957084+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T07:54:20.474100+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T07:54:57.927657+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T07:55:33.585099+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T07:56:08.239383+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T07:56:43.333084+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T07:57:18.005647+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T07:57:53.152325+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T07:58:39.467855+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T07:59:14.201928+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T07:59:49.013178+00:00 | Mockingbird | Eminem | source:amperwave-api
2026-04-19T08:00:35.750219+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T08:01:10.085508+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T08:01:45.763804+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T08:02:38.345264+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T08:03:13.142705+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T08:03:49.006391+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T08:04:26.348180+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T08:05:01.283023+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T08:05:36.889687+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T08:06:14.062759+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-19T08:06:49.613736+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-19T08:07:24.730159+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-19T08:08:06.568468+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-19T08:08:41.912163+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T08:09:17.370499+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T08:09:52.117270+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T08:10:26.809145+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T08:11:02.338341+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-19T08:11:37.594468+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-19T08:12:12.053828+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-19T08:12:46.839980+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-19T08:13:21.822404+00:00 | Runway | Lady Gaga Ft. Doechii | source:amperwave-api
2026-04-19T08:13:57.839116+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-19T08:14:32.865490+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-19T08:15:07.502872+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-19T08:15:42.849170+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-19T08:16:34.482268+00:00 | Pretty Face | Paper Money | source:amperwave-api
2026-04-19T08:17:09.237700+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:17:44.103389+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:18:28.131177+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:19:03.190523+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:19:37.813327+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:20:12.690969+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:20:48.013340+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T08:21:23.128407+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T08:21:57.486052+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T08:22:50.679989+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T08:23:26.784998+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T08:24:03.842269+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-19T08:24:50.630921+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-19T08:25:25.825928+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-19T08:26:00.261809+00:00 | Blink | Corbyn Benson Ft. Tzuyu | source:amperwave-api
2026-04-19T08:26:49.498549+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T08:27:24.507233+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T08:27:59.468965+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T08:28:35.579326+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T08:29:10.530364+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T08:29:45.181520+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T08:30:20.840267+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T08:30:55.691430+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T08:31:30.586712+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T08:32:05.239761+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T08:32:39.933412+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:33:15.137464+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:33:49.907315+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:34:24.305829+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:34:59.615228+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:35:35.751681+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:36:11.781026+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T08:36:48.146025+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T08:37:38.719563+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T08:38:13.588303+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T08:38:49.111968+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T08:39:41.067711+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T08:40:15.953122+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T08:40:51.101208+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T08:41:38.352461+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T08:42:14.201138+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T08:42:49.691751+00:00 | Dont Call | Kun | source:amperwave-api
