2026-04-18T14:59:29.364558+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T15:00:05.377102+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T15:00:59.339844+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T15:01:36.958562+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T15:02:13.939689+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T15:02:50.110693+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-18T15:03:27.347958+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:04:04.197824+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:04:40.956331+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:05:16.920494+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:05:54.929613+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:06:30.337590+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:07:06.966199+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:07:42.541787+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:08:18.612106+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:08:54.689565+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:09:36.036352+00:00 | Forever Young | David Guetta X Ava Max | source:amperwave-api
2026-04-18T15:10:13.246711+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-18T15:10:49.779088+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-18T15:11:41.300291+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-18T15:12:17.083783+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-18T15:12:53.974562+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T15:13:47.942350+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T15:14:24.801602+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T15:15:01.356817+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-18T15:16:03.240001+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T15:16:39.301809+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T15:17:16.908107+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T15:18:10.160731+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T15:18:46.784699+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T15:19:25.327818+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:20:16.926880+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:20:52.773054+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:21:28.142136+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:22:03.982470+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:22:40.029512+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:23:16.154660+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:23:52.615838+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:24:30.377880+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:25:06.639569+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:25:43.184786+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:26:18.964497+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:26:55.235500+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:27:30.767674+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-18T15:28:06.261927+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T15:28:41.594701+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T15:29:37.692912+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T15:30:14.245549+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T15:31:30.975531+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T15:32:08.909523+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T15:32:45.335738+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T15:33:44.140856+00:00 | Where Is My Husband! | Raye | source:amperwave-api
