2026-04-13T19:27:44.999654+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-13T19:28:26.496131+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-13T19:29:03.128358+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-13T19:30:04.939576+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:30:40.312104+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:31:15.341983+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:31:55.387331+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:32:30.221760+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:33:28.228525+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-13T19:34:04.555729+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-13T19:34:40.144316+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-13T19:35:14.870608+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-13T19:35:49.898456+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-13T19:36:25.322216+00:00 | Good News | Shaboozey | source:amperwave-api
2026-04-13T19:37:00.905249+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-13T19:37:36.093415+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-13T19:38:11.882790+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-13T19:38:47.210739+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-13T19:39:22.716505+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-13T19:39:58.090210+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-13T19:40:34.333554+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-13T19:41:09.331065+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-13T19:41:44.997432+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-13T19:42:32.090741+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-13T19:43:07.347870+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:43:42.355846+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:44:19.240958+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:44:54.924285+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:45:55.638162+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:46:30.997086+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:47:05.919599+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:47:41.560437+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:48:16.383945+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:48:51.963647+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:49:28.429867+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:50:03.547460+00:00 | Raise Your Glass | Pink | source:amperwave-api
2026-04-13T19:51:02.632205+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-13T19:51:37.542064+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-13T19:52:12.734164+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-13T19:52:48.902402+00:00 | Mutt | Leon Thomas (Feat. Chris Brown) | source:amperwave-api
2026-04-13T19:53:24.393449+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T19:54:00.263455+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T19:54:34.890256+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T19:55:10.155481+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T19:55:45.130711+00:00 | Tit For Tat | Tate Mcrae | source:amperwave-api
2026-04-13T19:56:20.201297+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:56:55.516583+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:57:31.452031+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:58:30.737776+00:00 | Bed Chem | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:59:06.108051+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T19:59:41.591265+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:00:18.303135+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:00:53.013933+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:01:28.678688+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:02:06.960879+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:02:45.126465+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-13T20:03:44.573120+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T20:04:21.064938+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T20:05:22.332312+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T20:06:00.528041+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T20:07:04.601682+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-13T20:07:43.761363+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-13T20:08:18.546309+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-13T20:08:54.020306+00:00 | Sure Thing | Miguel | source:amperwave-api
2026-04-13T20:09:28.895447+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
