2026-04-11T19:52:54.228790+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:53:28.781069+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:54:04.810149+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:54:38.715942+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:55:31.325900+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:56:06.943068+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:04.918366+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:57:41.072743+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:58:40.112699+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:59:14.586185+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T20:00:12.456595+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-11T20:00:50.057240+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-11T20:01:48.735860+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-11T20:02:26.761010+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-11T20:03:27.955129+00:00 | Hips Dont Lie (Feat. Wyclef Jean) | Shakira | source:amperwave-api
2026-04-11T20:04:02.976228+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:04:37.554056+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:05:12.521904+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:05:47.368609+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:06:21.949272+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:06:56.257736+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:07:32.465409+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:08:07.208543+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:08:41.846549+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:09:16.773692+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:09:51.724327+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:10:26.062846+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:11:00.421177+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:31:00.341320+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:31:59.193405+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:32:34.352350+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:33:34.563014+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-11T20:34:09.541273+00:00 | I Just Might | Bruno Mars | source:amperwave-api
