2026-04-18T09:07:31.232102+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:08:07.149559+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:08:43.437983+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:09:18.776210+00:00 | Runway | Lady Gaga And Doechi | source:amperwave-api
2026-04-18T09:09:54.207186+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:10:29.428121+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:11:04.549300+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:11:40.144175+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:12:16.431855+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:12:52.258584+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:13:28.681315+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T09:14:28.363802+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:15:07.295086+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:15:42.837952+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:16:25.461751+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:17:06.583634+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T09:17:42.616247+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:18:30.230963+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:19:06.735014+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:19:41.709783+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:20:39.083730+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T09:21:17.170297+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:21:53.381156+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-18T09:22:36.098625+00:00 | Homewrecker | Sombr | source:amperwave-api
