2026-04-19T17:57:31.768962+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:58:11.620675+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:58:53.610016+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:59:33.469210+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:00:15.296155+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:00:56.152304+00:00 | Lose Control | Teddy Swims | source:amperwave-api
2026-04-19T18:01:58.330460+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:02:38.840571+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:03:35.675005+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:04:17.225849+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T18:04:58.443345+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:05:51.035758+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:06:33.310364+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:07:40.522955+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:08:23.728345+00:00 | Where Have You Been | Rihanna | source:amperwave-api
2026-04-19T18:09:04.875378+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:09:47.365024+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:10:37.751472+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:11:44.482216+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T18:12:27.307126+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:13:07.536074+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:13:47.818174+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:14:27.851256+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:15:14.791955+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:15:56.897002+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:16:37.987114+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:17:18.354715+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:18:00.406035+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:18:46.845878+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:19:32.661768+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-19T18:20:39.924651+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:21:21.543301+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:22:07.803485+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:23:18.717462+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:23:59.260575+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:24:50.957677+00:00 | Folded | Kehlani | source:amperwave-api
