2026-04-19T19:07:23.332136+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T19:08:04.335047+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T19:09:05.270877+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T19:09:45.304068+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T19:10:26.462969+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T19:11:05.805376+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T19:11:52.177518+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T19:12:33.185632+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T19:13:20.705667+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-19T19:14:00.742039+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-19T19:14:41.359475+00:00 | Younger You | Miley Cyrus | source:amperwave-api
2026-04-19T19:15:21.494192+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:16:05.113366+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:16:45.083726+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:17:37.190471+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:18:17.951847+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:19:00.677832+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T19:20:01.590999+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T19:20:41.738154+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T19:21:45.059810+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T19:22:36.545593+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T19:23:44.540325+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T19:24:26.030706+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T19:25:06.919785+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T19:25:53.874655+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T19:26:34.540804+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T19:27:49.707762+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T19:28:32.465203+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T19:29:13.514765+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T19:30:04.349260+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T19:30:45.143715+00:00 | Blue Strips | Jessie Murph | source:amperwave-api
2026-04-19T19:31:26.152358+00:00 | Blue Strips | Jessie Murph | source:amperwave-api
2026-04-19T19:32:08.726058+00:00 | Blue Strips | Jessie Murph | source:amperwave-api
2026-04-19T19:32:49.595740+00:00 | Blue Strips | Jessie Murph | source:amperwave-api
2026-04-19T19:33:30.758362+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T19:34:10.763982+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T19:34:51.457987+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T19:35:31.506428+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T19:36:40.949732+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T19:37:22.132921+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T19:38:03.428477+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T19:39:04.455435+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T19:39:44.738921+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T19:40:35.124943+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T19:41:14.907834+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T19:42:25.892439+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:43:08.630830+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:44:13.866483+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:44:55.072254+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:46:09.896629+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:46:51.681238+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:47:32.189627+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T19:48:12.870726+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T19:48:52.833326+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T19:49:34.588014+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T19:50:16.683787+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T19:51:15.215875+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T19:52:03.447446+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T19:52:44.661115+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T19:53:37.336089+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T19:54:39.132461+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T19:55:19.767024+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T19:56:00.779277+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T19:57:02.563344+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T19:57:48.728700+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T19:58:37.967341+00:00 | Break Up With Your Girlfriend | Ariana Grande | source:amperwave-api
2026-04-19T19:59:18.208246+00:00 | Break Up With Your Girlfriend | Ariana Grande | source:amperwave-api
2026-04-19T20:00:27.800727+00:00 | Break Up With Your Girlfriend | Ariana Grande | source:amperwave-api
2026-04-19T20:01:12.383335+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T20:01:53.747500+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T20:02:56.214171+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T20:03:50.192240+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T20:04:44.699456+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T20:05:27.081181+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T20:06:08.412034+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T20:06:51.406207+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T20:07:39.010182+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T20:08:19.633825+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T20:09:01.720346+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T20:09:42.683501+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T20:10:23.286902+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T20:11:03.159806+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T20:11:44.107146+00:00 | My Ex'S Best Friend | Mgk Feat. Blackbear | source:amperwave-api
2026-04-19T20:12:23.707483+00:00 | My Ex'S Best Friend | Mgk Feat. Blackbear | source:amperwave-api
2026-04-19T20:13:32.374231+00:00 | My Ex'S Best Friend | Mgk Feat. Blackbear | source:amperwave-api
2026-04-19T20:14:40.821081+00:00 | How It'S Done | Huntr/X | source:amperwave-api
2026-04-19T20:15:35.262292+00:00 | How It'S Done | Huntr/X | source:amperwave-api
