2026-04-16T01:42:33.521940+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:43:11.987934+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:43:51.059451+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:44:30.954007+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:45:10.438919+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:45:49.524066+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:46:30.292567+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:47:10.381722+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:47:49.013059+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:49:01.021261+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:49:40.614056+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:50:18.749076+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:50:57.742437+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:51:38.944818+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:52:18.381995+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:52:57.999708+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:53:37.827584+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:54:16.281003+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:54:53.888363+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:55:34.404185+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:56:13.314137+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:56:52.580896+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:57:30.406605+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:58:10.263522+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:58:50.206363+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:59:28.575441+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T02:00:38.467338+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T02:01:19.427268+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T02:01:59.137424+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T02:02:39.244003+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T02:03:17.557375+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
