2026-04-16T00:55:54.069328+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-16T00:56:35.536698+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-16T00:57:16.203780+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-16T00:57:58.594561+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-16T00:58:39.094240+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-16T00:59:19.668856+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-16T00:59:59.117754+00:00 | Dtmf | Bad Bunny | source:amperwave-api
2026-04-16T01:00:40.020781+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-16T01:01:20.330197+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-16T01:02:06.645840+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-16T01:02:46.607706+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-16T01:04:09.001412+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:04:50.547563+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:05:31.331242+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:06:09.833834+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:06:49.379159+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:07:31.544758+00:00 | Shape Of You | Ed Sheeran | source:amperwave-api
2026-04-16T01:08:13.031147+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-16T01:08:54.383942+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-16T01:09:38.000503+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-16T01:10:21.556480+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-16T01:11:02.413987+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-16T01:11:43.228315+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:12:24.270488+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-16T01:13:05.692115+00:00 | Homewrecker | Sombr | source:amperwave-api
