2026-04-13T02:58:04.072133+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T02:58:38.943753+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T02:59:13.487156+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T02:59:48.251034+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T03:00:23.117307+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T03:00:58.561680+00:00 | Dont Stop The Music | Rihanna | source:amperwave-api
2026-04-13T03:01:33.840874+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T03:02:10.289138+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T03:02:45.502161+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T03:03:20.505216+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T03:03:55.141400+00:00 | Yukon [Remix] | Justin Bieber | source:amperwave-api
2026-04-13T03:04:29.985743+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:05:05.432384+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:05:40.450108+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:06:28.616456+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:07:04.144159+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:07:42.088728+00:00 | Blank Space (Taylors Version) | Taylor Swift | source:amperwave-api
2026-04-13T03:08:41.734095+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-13T03:09:17.011859+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-13T03:09:53.715716+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-13T03:10:29.365825+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-13T03:11:04.929414+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-13T03:11:41.092494+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T03:12:16.807504+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T03:12:51.702146+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T03:13:50.076791+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
