2026-04-18T12:40:16.658520+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:40:53.062569+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:41:38.582298+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:42:14.642699+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:42:51.229881+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:43:33.288908+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:44:09.907474+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:44:46.038643+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:46:08.796537+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:46:44.002628+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:47:35.258382+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:48:11.653973+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:48:48.834955+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:49:25.923510+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:50:02.018248+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:50:38.588867+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:51:14.280483+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:51:50.153884+00:00 | Shot In The Dark | Ozzy Osbourne | source:amperwave-api
2026-04-18T12:52:30.233107+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-18T12:53:06.921583+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-18T12:53:43.865783+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-18T12:54:21.302908+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-18T12:54:57.436454+00:00 | Live And Let Die | Paul Mccartney Wings | source:amperwave-api
2026-04-18T12:55:33.460549+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:56:10.117336+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:56:46.288822+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:57:39.976469+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:58:16.594113+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:58:52.780046+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T12:59:33.531353+00:00 | Too Late For Love | Def Lepard | source:amperwave-api
2026-04-18T13:00:10.912878+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:00:47.702419+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:01:38.639210+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:02:18.194697+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:02:54.778103+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:03:39.983409+00:00 | Wheel In The Sky | Journey | source:amperwave-api
2026-04-18T13:04:19.411835+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:04:56.164384+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:05:35.038407+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:06:12.068579+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:06:48.520662+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:07:31.590386+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:08:08.281693+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:08:44.883657+00:00 | Youve Got Another Thing Comin | Judas Priest | source:amperwave-api
2026-04-18T13:09:23.548281+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:10:00.983913+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:10:38.613737+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:11:16.002856+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:11:52.704435+00:00 | My Best Friends Girl | Cars | source:amperwave-api
