2026-04-14T02:53:18.220051+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:53:53.196005+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:54:28.171039+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:55:03.437278+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:55:38.826381+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:56:14.205831+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:56:49.811149+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:57:26.434820+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:58:01.544985+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:58:37.170088+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:59:12.286878+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-14T02:59:47.704359+00:00 | Her Strut | Bob Seger The Silver Bullet Band | source:amperwave-api
